,recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
0,160739303,"{'steamid': '76561198839027989', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2166, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2166, 'last_played': 1706596352}",russian,Очень интересная игра,1710661751,1710661751,True,0,0,0,0,True,False,True,True,
1,160739229,"{'steamid': '76561199647233499', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 7218, 'playtime_last_two_weeks': 7160, 'playtime_at_review': 7218, 'last_played': 1710662509}",schinese,好玩爱玩,1710661686,1710661686,True,0,0,0,0,True,False,True,True,
2,160739013,"{'steamid': '76561199642334055', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 853, 'playtime_last_two_weeks': 30, 'playtime_at_review': 823, 'last_played': 1710663244}",tchinese,爽,1710661430,1710661430,True,0,0,0,0,True,False,True,True,
3,160738997,"{'steamid': '76561198318482004', 'num_games_owned': 198, 'num_reviews': 93, 'playtime_forever': 277, 'playtime_last_two_weeks': 277, 'playtime_at_review': 277, 'last_played': 1710659756}",english,5/10 not better than pokemon scarlet and violet,1710661412,1710661412,False,0,0,0,0,True,False,True,True,
4,160738797,"{'steamid': '76561199119975255', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2169, 'playtime_last_two_weeks': 1534, 'playtime_at_review': 2138, 'last_played': 1710662986}",thai,"Nah I,D WIN",1710661151,1710661151,True,0,0,0,0,True,False,True,True,
5,160738785,"{'steamid': '76561199163528660', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3111, 'playtime_last_two_weeks': 3111, 'playtime_at_review': 3111, 'last_played': 1710661043}",schinese,暖水瓶,1710661135,1710661135,True,0,0,0,0,True,False,True,True,
6,160738605,"{'steamid': '76561198333327400', 'num_games_owned': 12, 'num_reviews': 1, 'playtime_forever': 10219, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10219, 'last_played': 1709218654}",schinese,很好玩，希望能早点修复BUG，拓展更多内容,1710660895,1710660895,True,0,0,0,0,True,False,True,True,
7,160738557,"{'steamid': '76561199619723219', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 259, 'playtime_last_two_weeks': 259, 'playtime_at_review': 229, 'last_played': 1710662644}",english,"Almost Creamed to that one pal, highly recommend the game if your single",1710660839,1710660839,True,0,2,0,0,True,False,True,True,
8,160738528,"{'steamid': '76561198967283762', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2312, 'playtime_last_two_weeks': 1919, 'playtime_at_review': 2274, 'last_played': 1710663395}",english,its amazing!,1710660813,1710660813,True,0,0,0,0,False,False,True,True,
9,160738378,"{'steamid': '76561199194841836', 'num_games_owned': 16, 'num_reviews': 3, 'playtime_forever': 229, 'playtime_last_two_weeks': 229, 'playtime_at_review': 221, 'last_played': 1710662862}",schinese,比原神好玩,1710660651,1710660651,True,0,0,0,0,True,False,True,True,
