recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
161911485,"{'steamid': '76561199595885122', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 184, 'playtime_last_two_weeks': 83, 'playtime_at_review': 181, 'last_played': 1712082988}",french,Rapport qualité prix je trouve sa pas mal,1711921241,1711921241,True,0,0,0,0,True,False,False,True,,,
161693578,"{'steamid': '76561198129627639', 'num_games_owned': 65, 'num_reviews': 1, 'playtime_forever': 326, 'playtime_last_two_weeks': 254, 'playtime_at_review': 192, 'last_played': 1711685707}",koreana,"착시 도형을 이용한 공간지각능력을 활용해야 하는 것 같이 생긴 단순한 미로 찾기

넉넉잡아 20 스테이지 정도면 이 게임에서 느낄 수 있는
신기함은 다 경험할 수 있음

그래도 공간지각능력 부족한 사람에겐 멀미와 함께 머리에 쥐가 내릴 수 있긴 함
그런 의미에서 이 가격에 이 정도 경험이면 나쁘지 않다고 생각함

하지만 도전과제 때문에 100개 하는 건 너무 고역이다",1711678044,1711678044,True,0,0,0,0,True,False,False,True,,,
160812962,"{'steamid': '76561198026605474', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 175, 'playtime_last_two_weeks': 0, 'playtime_at_review': 175, 'last_played': 1710724906}",english,a fun game well worth the price. if youre having trouble on a level try mentally back-tracking from the goal to a closer way point,1710725041,1710725041,True,0,0,0,0,True,False,False,True,,,
160623103,"{'steamid': '76561199190668925', 'num_games_owned': 0, 'num_reviews': 58, 'playtime_forever': 289, 'playtime_last_two_weeks': 38, 'playtime_at_review': 247, 'last_played': 1711304208}",brazilian,"Bom jogo pra tirar seu estresse quando a receita federal da um preenchimento automático de declaração pra todo mundo menos pra voce e voce precisa preencher coisa por coisa e quer destruir o mundo

vai ver a musiquinha q deve ajudar bastante em acalmar",1710546366,1710546366,True,0,0,0,0,True,False,False,True,,,
158471411,"{'steamid': '76561197981395791', 'num_games_owned': 124, 'num_reviews': 55, 'playtime_forever': 320, 'playtime_last_two_weeks': 27, 'playtime_at_review': 14, 'last_played': 1711457731}",russian,"Who is so kind man in da world and create that game? 
> R-E-S-P-E-C-T-o-s ! 
Amazing game 4 mind!
Not 4 tik-tok kids, 
Not 4 youtube & twitch watcher boys, 
Not 4 stpd men who like drink beer or another alcho
Not 4 ppl that know only world as: morron, ass, b****, f***, etc
Only 4 high iq guys with big brain and activity neuron network !
> shut up and take my money (c) Philip J. Fry",1708113905,1708113905,True,1,0,0.523809552192687988,0,True,False,False,True,,,
157465617,"{'steamid': '76561198844282465', 'num_games_owned': 1575, 'num_reviews': 4683, 'playtime_forever': 300, 'playtime_last_two_weeks': 0, 'playtime_at_review': 300, 'last_played': 1677842020}",russian,☀️,1706938134,1706938134,True,0,0,0,0,True,False,False,True,,,
157363033,"{'steamid': '76561199010042150', 'num_games_owned': 3874, 'num_reviews': 2454, 'playtime_forever': 203, 'playtime_last_two_weeks': 0, 'playtime_at_review': 203, 'last_played': 1705775106}",english,"I am 32 years old.

My ex-wife and I have a daughter together, and we adopted our son together. Both are now 4 years old.

When we were going through our separation, I felt lost and unhappy. I was self-destructive. One day, I was so angry with everything spiraling out of control that I punched a concrete wall in a moment of overwhelming emotion. This resulted in breaking my fifth metacarpal in my right hand—the hand I worked with, played games with, and used to carry my children to bed—the hand I desperately needed to ensure I could continue providing.

Upon learning the severity of the self-inflicted damage, I became almost suicidal. Keep in mind that just a few months before this, I was the happiest man, with no history of depression or anxiety. I had never experienced anger outbursts, nor was I the type to break down and cry, but I was in a tough situation that truly prevented me from seeing the light on the other side.

With nothing better to do, I looked for a game I could play WITH ONE HAND while recovering. Somehow, I stumbled upon this game and read some of the comments. I decided it was worth a try... I must admit I didn't beat the game, nor did I play as much as some of you. In fact, I may have played this game for only a day or two. That being said, after doing so, I had a new joy and hope for life. I managed to leave behind the pain and suffering that had been thrust upon me. I could experience the joy and happiness of other people. I relaxed for 5 ♥♥♥♥ minutes listening to this music, long enough to realize that I would be okay.

After realizing this, I turned off the game and went back to work. My hand hurt a lot, but I was motivated. I stopped feeling so sorry for myself and became the father I needed to be at that moment, not the weak boy I was behaving like.

Today, I am close friends with the mother of my children. We don't fight, argue, or say hurtful things to each other. We are parents and friends.

Now I have 3 children. My third child is, wait, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my separation, and we just unexpectedly stumbled into each other's lives. We have been dating for a year and are very happy together.

Moral of the story: you never know what life has in store for you, and if I had given up when all odds were against me, I wouldn't be where I am today. This silly little game helped me realize that.

Thank you.",1706823867,1706823867,True,1,0,0.518518567085266113,0,True,False,False,True,,,
156308055,"{'steamid': '76561198201336961', 'num_games_owned': 247, 'num_reviews': 65, 'playtime_forever': 265, 'playtime_last_two_weeks': 0, 'playtime_at_review': 265, 'last_played': 1705683018}",schinese,利用各种不可能的方块/视觉错觉做成的谜题，小箱子“叮叮叮”听久了血压有点高，有时候挪着挪着就过了。整体难度曲线有点怪，本以为越到后面越难，但是有好几关意外简单。,1705683768,1705683768,True,0,0,0,0,True,False,False,True,,,
156296469,"{'steamid': '76561199143225787', 'num_games_owned': 0, 'num_reviews': 30, 'playtime_forever': 301, 'playtime_last_two_weeks': 0, 'playtime_at_review': 172, 'last_played': 1705680293}",schinese,"没有快捷撤回键，差评
没有快捷重开键，差评
主界面没有退出键，差评
关卡开始动画时间过长，差评
[strike]不支持中文，差评[/strike]",1705672658,1705673387,True,0,0,0,0,True,False,False,True,,,
155467110,"{'steamid': '76561198243949732', 'num_games_owned': 1337, 'num_reviews': 254, 'playtime_forever': 123, 'playtime_last_two_weeks': 0, 'playtime_at_review': 123, 'last_played': 1582749635}",english,Clean,1704624665,1704624665,True,0,0,0,0,False,False,False,True,,,
154438737,"{'steamid': '76561198084650354', 'num_games_owned': 0, 'num_reviews': 15, 'playtime_forever': 262, 'playtime_last_two_weeks': 0, 'playtime_at_review': 262, 'last_played': 1611084265}",english,great game,1703583506,1703583506,True,0,0,0,0,True,False,False,True,,,
152796750,"{'steamid': '76561198217318681', 'num_games_owned': 0, 'num_reviews': 1730, 'playtime_forever': 123, 'playtime_last_two_weeks': 0, 'playtime_at_review': 123, 'last_played': 1631689233}",german,"a good puzzle game for between.
can recommend it.
120 levels.
has a best list.
very relaxing music to the game.
has steam cards.
all achievements work.
",1701604931,1701604931,True,0,0,0,0,True,False,False,True,,,
