recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
151190224,"{'steamid': '76561199022399210', 'num_games_owned': 39, 'num_reviews': 5, 'playtime_forever': 359, 'playtime_last_two_weeks': 0, 'playtime_at_review': 359, 'last_played': 1668787208}",polish,nostalgia grałem w tą gre 10 lat temu,1700695293,1700695293,True,0,0,0,0,True,False,False,True,
150014296,"{'steamid': '76561199354082132', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 599, 'playtime_last_two_weeks': 0, 'playtime_at_review': 448, 'last_played': 1699912628}",turkish,bence iyi,1699808917,1699808917,True,0,0,0,0,True,False,False,True,
146939102,"{'steamid': '76561198434400591', 'num_games_owned': 129, 'num_reviews': 6, 'playtime_forever': 633, 'playtime_last_two_weeks': 0, 'playtime_at_review': 624, 'last_played': 1695636847}",spanish,No tiene ningún contenido mas alla de un farmeo de carreras perfecto para dormirse,1695567043,1695567043,False,0,0,0,0,True,False,False,True,
144094643,"{'steamid': '76561198857474935', 'num_games_owned': 90, 'num_reviews': 40, 'playtime_forever': 317, 'playtime_last_two_weeks': 0, 'playtime_at_review': 310, 'last_played': 1709042186}",polish,Fajna gra jedyny minus to źle zbalansowany poziom trudności.,1691935239,1691935239,True,0,0,0,0,False,False,False,True,
136049267,"{'steamid': '76561198867982926', 'num_games_owned': 199, 'num_reviews': 29, 'playtime_forever': 277, 'playtime_last_two_weeks': 0, 'playtime_at_review': 235, 'last_played': 1682358559}",english,A great game made by the creators of Car Mechanic Simulator franchise. I rember playing the Lowrider Extreme version with my brother when we were small. V8s instead of 4 bangers don't matter because I love both.,1680560520,1680560520,True,0,0,0,0,True,False,False,True,
135596876,"{'steamid': '76561198870722340', 'num_games_owned': 83, 'num_reviews': 5, 'playtime_forever': 998, 'playtime_last_two_weeks': 0, 'playtime_at_review': 93, 'last_played': 1680380470}",polish,na linuxie w emulacji steam nie działa ale na windows 10 z ryzen 3 1200 i radeon 5500 xt 8gb działa dobrze ogólnie spoko,1680001676,1680001676,True,1,0,0,0,True,False,False,True,
132744064,"{'steamid': '76561198336919797', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 558, 'playtime_last_two_weeks': 0, 'playtime_at_review': 512, 'last_played': 1676248454}",polish,fajna gra polecam,1676245688,1676245688,True,0,0,0,0,True,False,False,True,
132548864,"{'steamid': '76561198005466176', 'num_games_owned': 0, 'num_reviews': 184, 'playtime_forever': 9, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1676058892}",polish,Tragedia.,1676058918,1676058918,False,0,0,0,0,False,False,False,True,
132169213,"{'steamid': '76561198068719262', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 329, 'playtime_last_two_weeks': 0, 'playtime_at_review': 299, 'last_played': 1684575776}",english,"The game reminds me alot of the old ""street rod"" game for dos. except better visually and more to do. i found the car speeds quite slow and unrealistic though, so i fixed that ;) its fun for the price, especially with a 7395hp 10340nm buick v6 haha recommend for anyone who is bored and liked the old street rod games back in the day.",1675491003,1675491003,True,0,0,0,0,True,False,False,True,
107627249,"{'steamid': '76561198968343992', 'num_games_owned': 59, 'num_reviews': 15, 'playtime_forever': 355, 'playtime_last_two_weeks': 0, 'playtime_at_review': 217, 'last_played': 1667610444}",english,Simpin' ain't pimpin',1641683279,1641683279,True,0,0,0,0,True,False,False,False,
90486628,"{'steamid': '76561198931239723', 'num_games_owned': 0, 'num_reviews': 17, 'playtime_forever': 752, 'playtime_last_two_weeks': 0, 'playtime_at_review': 244, 'last_played': 1684629505}",english,i like it:),1618694967,1618694967,True,0,0,0,0,True,False,False,False,
85239436,"{'steamid': '76561198054982103', 'num_games_owned': 1995, 'num_reviews': 100, 'playtime_forever': 1093, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1093, 'last_played': 1611288081}",english,"I shouldn't have liked this game and it's old school feel. But I did! It's easy if you know how to play it, car choice, upgrade choice etc etc. But it's a really good game... Simple! 7/10",1611454266,1611454266,True,5,0,0.560267329216003418,0,False,False,False,False,
81045044,"{'steamid': '76561199087432514', 'num_games_owned': 24, 'num_reviews': 21, 'playtime_forever': 325, 'playtime_last_two_weeks': 0, 'playtime_at_review': 61, 'last_played': 1704048764}",polish,fajna gra,1606651961,1606651961,True,3,0,0.521176457405090332,0,True,False,False,False,
78968963,"{'steamid': '76561198099820431', 'num_games_owned': 57, 'num_reviews': 3, 'playtime_forever': 4055, 'playtime_last_two_weeks': 0, 'playtime_at_review': 436, 'last_played': 1707443091}",spanish,Juego muy recomendable. Autos reales con distintos nombres y buena personalizacion de los vehiculos,1604876055,1604876055,True,3,0,0.544895470142364502,0,True,False,False,False,
77147088,"{'steamid': '76561198290922584', 'num_games_owned': 492, 'num_reviews': 14, 'playtime_forever': 42, 'playtime_last_two_weeks': 0, 'playtime_at_review': 42, 'last_played': 1602014315}",russian,"С чего бы начать?
Игра по сути имеет 2 режима: Гонка на ставки и танцы на лоурайдерах. Первый режим полная копия L.A. Street Racing (Кто играл, тот поймёт). Второй же, обычная миссия из GTA San Andreas с более проработанной анимацией. Для 2012 года, да и сейчас - это просто сырой продукт. Порадовал саундтрек, он действительно заслуживает внимания. Купил ключ за 50 рублей, 82 рубля игра точно не стоит, похожа на Unity проект из Google Play. Тюнинг в ней довольно скудный, не зацепил. Графику всегда ставлю на последнее место в играх, тут она приемлимая.
Мне игра понравилась только потому, что я люблю нечто странное. Чисто на любителя - лучше сыграть в более интересные продукты. Ах да, игра от создателей Need For Russia 4 (Это тупо её клон) :).",1602020057,1602020869,True,4,0,0.554476380348205566,0,False,False,False,False,
67494729,"{'steamid': '76561198233631296', 'num_games_owned': 86, 'num_reviews': 5, 'playtime_forever': 406, 'playtime_last_two_weeks': 0, 'playtime_at_review': 257, 'last_played': 1616126095}",english,yes,1587129456,1587129456,True,2,0,0.523195862770080566,0,True,False,False,False,
66025715,"{'steamid': '76561198873061449', 'num_games_owned': 0, 'num_reviews': 9, 'playtime_forever': 105, 'playtime_last_two_weeks': 0, 'playtime_at_review': 37, 'last_played': 1591375370}",brazilian,joguin bom demais,1585415798,1585415798,True,2,0,0.523195862770080566,0,True,False,False,False,
64092738,"{'steamid': '76561198954363603', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 889, 'playtime_last_two_weeks': 0, 'playtime_at_review': 341, 'last_played': 1609516939}",japanese,もう少し車両を増やしてくれることを期待していますが、ハイドロの弾む感じの挙動がすごくリアルでしかもグラフィックがきれいですごくよかったです。,1582629673,1582629673,True,3,0,0.544895470142364502,0,True,False,False,False,
61116160,"{'steamid': '76561198021141277', 'num_games_owned': 945, 'num_reviews': 279, 'playtime_forever': 22, 'playtime_last_two_weeks': 0, 'playtime_at_review': 22, 'last_played': 1577944204}",english,"Its not a... Bad experience, its just not really a good game. Even by Red Dot Games, there are better racing titles from them than this.",1577944272,1577944272,False,6,0,0.584829866886138916,0,True,False,False,False,
60312181,"{'steamid': '76561198834095292', 'num_games_owned': 0, 'num_reviews': 21, 'playtime_forever': 618, 'playtime_last_two_weeks': 0, 'playtime_at_review': 164, 'last_played': 1707485335}",english,it is good when you make the rigth cohise of car,1577017476,1577017476,True,4,0,0.546449065208435059,0,True,True,False,False,
55707786,"{'steamid': '76561198015412685', 'num_games_owned': 1972, 'num_reviews': 1015, 'playtime_forever': 21, 'playtime_last_two_weeks': 0, 'playtime_at_review': 21, 'last_played': 1571689909}",polish,"taka wyscigoweczka, kupujemy fure, potem ulepszenia i pniemy sie w rankingu, oczywiscie nie brakuje zakladow ;)",1571689979,1571689979,True,3,0,0.543056011199951172,0,False,False,False,False,
