date,compound,neg,neu,pos
2015-07,127,0,65,11
2015-08,45,1,27,1
2015-09,80,0,46,7
2015-10,40,0,24,3
2015-11,44,1,10,0
2015-12,136,1,66,8
2016-01,74,0,54,7
2016-02,72,1,25,7
2016-03,48,0,21,4
2016-04,34,1,19,2
2016-05,55,0,46,4
2016-06,45,3,20,2
2016-07,94,0,52,7
2016-08,31,2,33,4
2016-09,40,0,29,2
2016-10,22,0,13,1
2016-11,77,0,50,12
2016-12,55,0,43,3
2017-01,74,0,32,10
2017-02,36,0,17,5
2017-03,36,0,22,3
2017-04,29,0,14,4
2017-05,47,0,23,4
2017-06,55,0,22,5
2017-07,39,1,26,5
2017-08,36,0,20,4
2017-09,17,0,17,3
2017-10,29,0,16,6
2017-11,37,0,21,6
2017-12,32,1,25,4
2018-01,33,0,25,7
2018-02,21,1,15,2
2018-03,14,1,11,2
2018-04,12,0,12,1
2018-05,24,0,11,4
2018-06,22,0,11,3
2018-07,23,0,6,5
2018-08,17,0,7,3
2018-09,11,0,1,2
2018-10,13,1,8,1
2018-11,14,0,7,1
2018-12,12,0,12,2
2019-01,16,0,9,2
2019-02,14,0,12,1
2019-03,10,0,4,1
2019-04,10,0,5,4
2019-05,12,1,6,2
2019-06,15,0,16,8
2019-07,18,1,11,8
2019-08,7,0,10,1
2019-09,10,0,2,1
2019-10,9,0,4,3
2019-11,9,1,6,0
2019-12,20,0,14,1
2020-01,15,1,18,0
2020-02,4,2,8,4
2020-03,7,0,10,4
2020-04,14,0,8,3
2020-05,15,0,9,2
2020-06,19,0,14,3
2020-07,23,0,10,3
2020-08,17,0,12,2
2020-09,13,0,6,4
2020-10,11,0,2,2
2020-11,15,0,7,2
2020-12,9,0,15,2
2021-01,24,0,14,1
2021-02,10,2,13,2
2021-03,5,0,8,1
2021-04,10,0,4,3
2021-05,6,0,11,5
2021-06,11,0,6,1
2021-07,11,0,9,4
2021-08,11,0,5,3
2021-09,8,0,9,4
2021-10,8,0,4,3
2021-11,11,0,12,1
2021-12,8,0,4,1
2022-01,12,0,5,2
2022-02,4,0,3,2
2022-03,10,0,7,1
2022-04,6,1,3,2
2022-05,7,0,1,1
2022-06,9,0,7,4
2022-07,14,0,8,1
2022-08,5,0,6,2
2022-09,3,0,6,0
2022-10,2,0,3,0
2022-11,1,0,6,0
2022-12,3,0,2,0
2023-01,4,0,6,2
2023-02,4,0,4,2
2023-03,7,0,8,1
2023-04,11,0,6,2
2023-05,3,0,4,2
2023-06,4,1,9,3
2023-07,3,0,6,2
2023-08,6,0,4,3
2023-09,4,0,6,1
2023-10,4,0,4,0
2023-11,4,1,1,1
2023-12,4,0,2,2
2024-01,0,0,4,1
2024-02,4,0,0,0
2024-03,0,1,2,0
2024-04,0,0,1,0
